currency,term,ticker,field,type,mat_days ,fx_base_convention,base
EURJPY,5M,JYSOE BGN Curncy,PX_LAST,investment,150,1,EUR
EURJPY,6M,JYSOF BGN Curncy,PX_LAST,investment,180,1,EUR
EURJPY,9M,JYSOI BGN Curncy,PX_LAST,investment,270,1,EUR
EURJPY,12M,JYSO1 Curncy,PX_LAST,investment,360,1,EUR
EURJPY,1W,EESWE1Z BGN Curncy,PX_LAST,funding,7,1,EUR
EURJPY,2W,EESWE2Z BGN Curncy,PX_LAST,funding,14,1,EUR
EURJPY,3W,EESWE3Z BGN Curncy,PX_LAST,funding,21,1,EUR
EURJPY,1M,EESWEA BGN Curncy,PX_LAST,funding,30,1,EUR
EURJPY,2M,EESWEB BGN Curncy,PX_LAST,funding,60,1,EUR
EURJPY,3M,EESWEC BGN Curncy,PX_LAST,funding,90,1,EUR
EURJPY,4M,EESWED BGN Curncy,PX_LAST,funding,120,1,EUR
EURJPY,5M,EESWEE BGN Curncy,PX_LAST,funding,150,1,EUR
EURJPY,6M,EESWF BGN Curncy,PX_LAST,funding,180,1,EUR
EURJPY,9M,EESWEI BGN Curncy,PX_LAST,funding,270,1,EUR
EURJPY,12M,EESWE1 BGN Curncy,PX_LAST,funding,360,1,EUR
